text,label,sender,device
We could not verify your delivery address. Please confirm your details on our secure portal within 24 hours to avoid return fees.,1,no-reply@shipping-notify.example,
Your account will be restricted unless you review recent sign-in activity using the link below.,1,security-alerts@login-verify.example,
Invoice #INV-8842 is attached. Kindly process payment to the bank details in the PDF to keep your service active.,1,billing@acct-update.example,
Reminder: team standup moved to 10am tomorrow. See you there.,0,lead@company.com,Outlook
Thanks for registering for the webinar. Here is your calendar invite and the join link for Thursday.,0,events@techconf.org,
Free shipping on orders over $50 this weekend only. Shop spring sale.,0,newsletter@retailer.com,
Could you send me the draft slides when you get a chance? No rush.,0,colleague@work.org,
Your subscription renewal failed. Update payment method here to avoid losing access.,1,billing@svcs-renewal.example,
You have (1) unread secure message from your bank. Open in browser to view.,1,alerts@messages-secure.example,
We noticed unusual login attempts. If this was not you confirm identity via our help center.,1,noreply@accountprotection.example,
Mom says dinner is at 6. Can you pick up bread on the way?,0,sister@family.mail,
Flash sale: 40 percent off winter jackets while supplies last.,0,promo@brandstore.com,
Please review the contract.pdf attached and sign by Friday end of day.,0,legal@vendor-partners.com,
Action required: mailbox storage almost full. Upgrade storage now.,1,storage@mail-service.example,
Package held at sorting facility. Schedule redelivery or pay a small customs fee.,1,carrier@parcel-status.example,
"Small but satisfying update to share: Jungle now shows math equations using LaTeX formatting No more 2×4a^3, now it will show equations in the clean way they are meant to look. Happy studying, Julian and the Jungle Team

",1,julian@get.jungleai.com,Gmail
"XTrimFitGym New sign in to your account A new device just signed in to your XTrimFitGym account. If you don't recognize this device, please check your account for any unauthorized activity, and also make sure that the sign in type used is secure. Sign in type: OAuth Device: OkHttp for unknown operating system Location: Libungan, PH IP: 2001:4455:ebb:da00:df17:daf5:d75e:f0bd Time: April 12, 03:16PM +0000 Don't recognize this activity? To immediately sign out of this device click the button below. If you having trouble with the signing out please click here.",1,XTrimFitGym <noreply@accounts.dev,Gmail
Streamline your writing Use Gemini to organize your draft and edit content in one seamless view. Find what you need From first draft to final report Use Canvas to edit and polish your draft without needing to switch tabs Review a work proposal What activities do I have listed in the Japan trip doc? Are any of them dependent on good weather? Select key sections of your draft for Gemini to fine-tune Get strategic feedback Use the Writing Editor Gem for feedback that helps you build stronger professional writing skills over time Refine your resume Chat with Gemini Follow us for the latest Follow on Instagram @googlegemini googlegemini Follow on Tiktok @googlegemini googlegemini Follow on Discord @gemini gemini Follow on X @geminiapp geminiapp,1,google-gemini-noreply@google.com,Gmail
"The long weekend is almost here! It’s time to slow down, recharge, and enjoy a well-deserved break.But while you’re taking it easy, your money can stay productive.While you’re out enjoying the long weekend, your savings could be doing something smarter too. Lock in up to 6% p.a., pick a term that fits your plans (starting at 3 months), and you’re all set—no extra effort needed.No need to check in. No extra steps. Just set it up today and let your savings grow quietly in the background.Because the best kind of break? The one where your money keeps moving forward—even when you’re not. Start your Time Deposit today and make this long weekend count.",1,offers@uno.bank,Gmail
"Your salary just landed and before it slips into weekend plans or quick spends, here’s a smarter way to make it go further.Put your extra cash to work with #UNOboost Time Deposit: Earn up to 6% p.a. Choose the term that fits you—start at 3 months Open in minutes, straight from the app Secure and hassle-freeNo complicated steps. Just set aside what you can today, lock in your rate, and let your money grow in the background.Because the real payday win? Making your money last—and grow—beyond today. Start your #UNOboost Time Deposit now and make your money work harder for you.",1,offers@uno.bank,Gmail
"Hi Kadets! We just wrapped up our second workshop in the KadaKareer x PacketWorx Workshop Series, and our brains are officially buzzing with Internet of Things (IoT) Technologies and Devices!",1,team@kadakareer.com,Gmail
"Dear Devspire,Are you an API professional?Code with the well-known Yahoo Finance API. Here is a code example:",1,support@financeapi.net,Gmail
"Cloudinary Developer Bytes delivers practical technical content including SDK updates, code samples, deep dives, and upcoming talks. This newsletter is curated by the friendly Cloudinary Developer Relations Team to help you get the most out of Cloudinary by achieving media mastery. This April, we are focused on everything AI!",1,devnews@e.cloudinary.com,Gmail
Your PayPal account has been limited. Verify your information immediately to restore full access.,1,service@paypal-secure-alert.com,Gmail
URGENT: IRS Final Notice. You owe back taxes. Failure to respond may result in arrest. Call now.,1,irs-notice@tax-collections.net,Gmail
Your Apple ID has been suspended due to suspicious activity. Verify now to unlock your account.,1,no-reply@apple-id-secure.info,Gmail
"New comment on your Google Doc: ""Can you clarify this section before the meeting?""",1,comments-noreply@docs.google.com,Gmail
"Last November, we launched our first 5-Day AI Agents Intensive Course with Google, reaching over 1.5 million learners. By popular demand, we’re excited to bring it back—now with updated content, new speakers, and a hands-on capstone project, all at no cost to registrants. It’s a 5-day intensive online course from June 15–19 designed to help users learn how to build, evaluate, and deploy powerful AI agents using vibecoding workflows, tools, APIs, and multi-agent systems from foundational concepts to production-ready applications. We will also explore how natural language serves as the new programming interface for building autonomous agents. Register for the Course Everyday, participants will receive the following information: Daily Assignments: This includes the whitepapers, a companion podcast and companion codelabs that you can complete at your own pace. Discord Discussion: Kaggle’s Discord server will have a dedicated channel for focused discussion during the event. It's an excellent place to find further clarification, surface any questions, and connect with other learners and Google experts. Daily Livestreams and AMAs: We will go live everyday on Kaggle's YouTube channel, where the authors and course contributors will dive deeper into the topics and answer your questions. Plus, we've got fun surprises in store to keep the learning engaging. Capstone project: Level up your skills and strengthen your portfolio with a real-world capstone project. At the end of the 5-day course, you’ll have the opportunity to participate and compete for prizes such as Kaggle certificates, badges, swag, and recognition across Kaggle and Google’s social media channels. Participation will be optional - you’ll learn more about the capstone project during the course. For more information, visit the event website. Hope to see you there! The Kaggle Team",1,team@kaggle.com,Gmail
